Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Algeria,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Angola,1100,1400,1600,2000,2400,2800,3300,3900,4500,5300,6100,7000,7900,8900,9900,11000,11000,11000,11000,12000,12000,13000,13000,13000,12000,12000
Argentina,500,1000,1000,1300,1600,1800,1300,1300,1500,1400,1400,1500,1600,1700,1800,1800,1900,2000,2000,2000,2200,2600,2700,2600,2500,2300
Armenia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200
Australia,1000,1000,1000,1000,1100,1100,1000,1000,1000,1000,1000,1000,1000,1000,500,500,1000,1000,1000,1000,500,500,500,500,200,200
Austria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Azerbaijan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,500,500,500,500,500,500,500,500
Bahamas,100,100,100,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Bangladesh,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,500,500,500,500,1000,1000,1000,1000,1000,1000,1000
Barbados,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belarus,100,100,100,100,100,100,100,100,100,100,200,200,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Belgium,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Belize,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200
Benin,100,200,500,500,1000,1000,1000,1400,1800,2200,2600,3000,3400,3800,4100,4400,4600,4700,4300,2600,2400,2500,2500,2600,2700,2800
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),200,200,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
